Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
travel body wash,46615,18%,29%,130000,Beauty & Personal Care,$1.48,$1.47,Easy,17
method men body wash,46276,4%,-17%,56855,Beauty & Personal Care,$0.91,$1.08,Somewhat Difficult,17
lume acidified body wash,44472,90%,63%,45287,Health & Household,---,---,Moderate,37
pureology,43860,24%,-15%,217364,Beauty & Personal Care,$0.76,$2.74,Very Difficult,17
osea,43721,13%,-22%,157123,Beauty & Personal Care,$0.81,$1.04,Very Difficult,32
body wash for women,43711,109%,17%,664473,Beauty & Personal Care,$2.72,$2.80,Somewhat Difficult,34
kiehls,43603,14%,-41%,151543,Beauty & Personal Care,$1.09,$1.08,Easy,17
zo skin health,43509,-7%,8%,65395,Beauty & Personal Care,$1.81,$1.78,Very Difficult,17
salicylic acid body wash,43010,10%,18%,56033,Beauty & Personal Care,$1.00,$1.76,Moderate,17
prequel cleanser,42832,-1%,59%,71257,Beauty & Personal Care,---,---,Easy,18
honest shampoo and body wash,42235,0%,2%,50528,Baby,---,---,Easy,17
alo yoga,41253,-23%,-19%,97167,"Clothing, Shoes & Jewelry",$1.46,$1.68,Moderate,17
body,41081,31%,-2%,8171725,Beauty & Personal Care,---,---,Very Difficult,17
sunday riley,40971,18%,-37%,72017,Beauty & Personal Care,$1.71,$2.51,Very Difficult,17
coco and eve,40454,54%,18%,157470,Beauty & Personal Care,$0.80,$1.37,Easy,18
bubble bath for women,39989,-21%,-20%,51199,Beauty & Personal Care,$1.07,$1.14,Easy,18
irish spring body wash,38740,18%,0%,48196,Beauty & Personal Care,$3.37,$1.14,Moderate,34
benzoyl peroxide body wash,38519,23%,60%,45798,Beauty & Personal Care,$3.63,$2.47,Easy,18
bath soap,38029,4%,-7%,162851,Beauty & Personal Care,$2.37,$2.52,Easy,17
bath & shower gels,38010,-4%,-16%,39360,Beauty & Personal Care,$1.10,$0.98,Easy,17
harrys body wash,37967,31%,18%,55485,Beauty & Personal Care,$1.14,$1.02,Easy,34
necessaire,37191,-12%,-29%,122719,Beauty & Personal Care,$0.83,$0.89,Easy,17
attitude body wash,36663,2%,4%,50651,Beauty & Personal Care,$3.01,$3.15,Somewhat Difficult,34
ogee,35355,13%,-20%,98906,Beauty & Personal Care,$0.75,$4.68,Very Difficult,17
salt and stone body mist,34920,72%,10%,45446,Beauty & Personal Care,---,---,Easy,17
lume body wash,34292,28%,6%,102846,Beauty & Personal Care,---,---,Easy,38
shower gel body wash,34175,19%,-15%,55859,Beauty & Personal Care,$1.64,$1.31,Easy,17
nivea body wash,33556,-8%,2%,52610,Beauty & Personal Care,$1.89,$2.06,Easy,17
neutrogena body wash,33445,-4%,-4%,52184,Beauty & Personal Care,$1.49,$1.03,Easy,17
philosophy body wash,32305,11%,-53%,40855,Beauty & Personal Care,$4.11,$3.09,Easy,17
cyklar body wash,31737,-15%,23%,37675,Beauty & Personal Care,---,---,Easy,53
dr teals bath body wash,31481,-8%,-18%,34475,Beauty & Personal Care,---,---,Easy,17
saltair body wash,31160,9%,-5%,35064,Beauty & Personal Care,---,---,Moderate,67
olay body wash for women,31149,9%,12%,39051,Beauty & Personal Care,$1.80,$1.28,Very Difficult,17
jabon de baño,30863,15%,16%,69709,Beauty & Personal Care,$0.90,$0.89,Easy,17
duke cannon,29821,0%,-38%,161917,Beauty & Personal Care,$0.77,$0.87,Very Difficult,17
beauty from bees body serum,29346,8%,25%,35719,Beauty & Personal Care,---,---,Easy,17
liquid soap,29225,5%,7%,243132,Beauty & Personal Care,$1.63,$1.57,Easy,17
moisturizing body wash,29109,-24%,19%,53476,Beauty & Personal Care,$1.84,$2.22,Moderate,34
natural body wash,28113,1%,4%,55172,Beauty & Personal Care,$2.46,$2.62,Easy,34
sand and fog,27922,20%,-18%,107376,Beauty & Personal Care,$0.72,$0.82,Easy,17
guest bathroom essentials,27566,15%,1%,28466,Health & Household,---,---,Easy,17
l'occitane,26899,-20%,-44%,57098,Beauty & Personal Care,$0.76,$0.73,Very Difficult,17
raw sugar body wash,26063,-3%,27%,34351,Beauty & Personal Care,$2.11,$1.70,Easy,49
body skin care products,25660,-8%,-7%,30792,Beauty & Personal Care,$1.11,$1.42,Easy,17
philosophy,25528,-13%,-48%,124970,Beauty & Personal Care,---,---,Very Difficult,17
axe body wash,25497,1%,-12%,42948,Beauty & Personal Care,$0.73,$1.45,Somewhat Difficult,17
cerave body wash,25357,-6%,9%,67578,Beauty & Personal Care,$0.83,$0.68,Easy,17
every man jack body wash,25356,3%,-16%,30384,Beauty & Personal Care,---,---,Easy,17
aesop,24925,-8%,-33%,82507,Beauty & Personal Care,$1.28,$2.21,Very Difficult,52
fragrance free body wash,24760,11%,28%,37038,Beauty & Personal Care,$5.14,$1.43,Easy,17
sensitive skin body wash,24545,1%,16%,87766,Beauty & Personal Care,$1.83,$1.49,Easy,17
luxury,24538,2%,-77%,219204,Beauty & Personal Care,$1.73,$1.18,Moderate,32
organic body wash,24177,4%,4%,39925,Beauty & Personal Care,$2.93,$2.63,Easy,17
women body wash,23755,-8%,1%,29206,Beauty & Personal Care,$4.36,$3.19,Easy,34
lush,23187,-1%,-26%,113097,Beauty & Personal Care,$0.73,$1.51,Easy,17
necessaire body wash,22505,8%,-24%,27728,Beauty & Personal Care,$1.16,$1.16,Easy,69
goat milk body wash,22056,65%,-9%,29791,Beauty & Personal Care,$1.33,$0.93,Moderate,34
non toxic body wash,22052,5%,25%,32357,Beauty & Personal Care,$0.71,$1.28,Easy,88
dr squatch body wash,21939,19%,-25%,33348,Beauty & Personal Care,$3.69,$3.26,Easy,17
vanicream body wash,21859,12%,34%,29179,Beauty & Personal Care,$0.62,$0.63,Easy,34
le labo,21816,38%,-17%,120931,Beauty & Personal Care,$0.75,$0.83,Very Difficult,32
cyclar,21792,43%,69%,36866,Beauty & Personal Care,---,---,Easy,17
anthropologie,21700,2%,-24%,181501,"Clothing, Shoes & Jewelry",$0.81,$0.85,Easy,17
natural soap,21612,8%,-1%,107420,Beauty & Personal Care,$1.56,$2.26,Easy,17
jo malone,21548,14%,-45%,84411,Beauty & Personal Care,$0.61,$0.53,Very Difficult,17
non toxic,20749,19%,9%,572668,Health & Household,$1.29,$1.52,Moderate,17
dr. bronner's castile soap,20479,35%,3%,24575,Beauty & Personal Care,$0.51,$0.53,Easy,17
athena body wash,19911,-15%,333%,26139,Beauty & Personal Care,---,---,Easy,54
matches in a jar with striker,19192,-1%,-3%,22024,Health & Household,---,---,Easy,17
mens skin care,19172,-7%,-50%,33104,Beauty & Personal Care,$4.97,$3.01,Easy,17
body wash bulk,19100,9%,-1%,35782,Beauty & Personal Care,$2.00,$1.32,Easy,17
diptyque,18719,14%,-29%,50629,Home & Kitchen,$0.58,$0.78,Very Difficult,17
shower oil for women,18120,-25%,49%,28568,Beauty & Personal Care,$0.95,$1.20,Easy,17
dove body wash sensitive skin,17728,-4%,13%,97623,Beauty & Personal Care,---,---,Easy,17
salt and stone perfume,17393,15%,-7%,22907,Beauty & Personal Care,---,---,Easy,34
bath and body works body wash,17305,15%,-48%,28402,Beauty & Personal Care,---,---,Easy,17
origins,17164,33%,-45%,177645,Beauty & Personal Care,$1.08,$0.54,Very Difficult,17
women's body wash,17015,-6%,2%,20418,Beauty & Personal Care,$2.30,$1.62,Easy,17
salt and stone lotion,17010,17%,-5%,26519,Beauty & Personal Care,---,---,Easy,17
body wash olay,16804,20%,18%,26026,Beauty & Personal Care,$1.16,$1.77,Easy,17
anti bacterial body soap,16779,-7%,11%,18238,Beauty & Personal Care,$1.81,$3.87,Easy,17
shower essentials,16761,2%,1%,46913,Home & Kitchen,$1.20,$1.05,Easy,17
body exfoliant,16390,5%,24%,22399,Beauty & Personal Care,$2.68,$1.75,Easy,17
shower soap,16125,4%,-4%,127917,Beauty & Personal Care,$1.87,$1.27,Easy,17
panoxyl body wash,16113,17%,58%,16965,Beauty & Personal Care,$0.57,$0.90,Easy,34
match holder,15943,-2%,-4%,36586,Home & Kitchen,$0.78,$0.85,Very Difficult,17
duke cannon body wash,15936,5%,-10%,22104,Beauty & Personal Care,$0.99,$0.99,Easy,34
bodywash womens,15776,-6%,2%,17798,Beauty & Personal Care,$4.01,$2.24,Easy,17
soap for men,15549,-16%,-37%,105216,Beauty & Personal Care,$2.57,$3.38,Moderate,17
bath products,15515,11%,-17%,30008,Beauty & Personal Care,$1.86,$1.37,Easy,17
bodywash men's,15440,8%,6%,18528,Beauty & Personal Care,---,---,Easy,17
everyone body wash,15274,1%,-7%,17509,Beauty & Personal Care,$1.36,$0.74,Easy,17
zum,15009,8%,-20%,12710,Health & Household,$0.79,$0.83,Very Difficult,17
korean body wash,14914,-8%,4%,16607,Beauty & Personal Care,$0.94,$1.06,Easy,17
nuxe,14819,31%,-26%,42517,Beauty & Personal Care,$0.76,$0.86,Very Difficult,17
papatui,14673,37%,73%,33598,Beauty & Personal Care,---,---,Very Difficult,17
cerave sa body wash,14625,29%,40%,67578,Beauty & Personal Care,$0.72,$0.69,Easy,17
bath foam,14613,37%,-15%,41977,Beauty & Personal Care,$1.26,$2.00,Easy,17
primally pure,14168,7%,-19%,59685,Beauty & Personal Care,$1.47,$1.09,Easy,17
