Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
hair shampoo,59867,4%,2%,713859,Beauty & Personal Care,$2.74,$2.39,Easy,31
shampoo for women,58940,0%,-4%,659336,Beauty & Personal Care,$1.38,$2.72,Easy,33
rosemary shampoo,54934,-15%,36%,132073,Beauty & Personal Care,$1.98,$1.17,Moderate,18
bumble and bumble,54706,2%,-14%,134510,Beauty & Personal Care,$0.95,$0.88,Very Difficult,16
nioxin shampoo and conditioner,52766,34%,7%,58675,Beauty & Personal Care,$4.74,$2.05,Easy,18
aveda shampoo,52001,10%,-18%,90895,Beauty & Personal Care,$1.23,$1.33,Easy,33
nizoral shampoo,51538,-8%,-5%,218158,Beauty & Personal Care,$0.68,$0.69,Easy,18
shea moisture shampoo,49359,-4%,-15%,96827,Beauty & Personal Care,$2.86,$2.14,Easy,20
amika shampoo,49151,-3%,1%,171100,Beauty & Personal Care,$4.00,$2.77,Easy,50
biotin shampoo,48387,-8%,-11%,118830,Beauty & Personal Care,$1.36,$2.10,Difficult,16
briogeo,47011,-3%,-22%,123655,Beauty & Personal Care,$1.43,$1.02,Very Difficult,31
matrix shampoo and conditioner,46971,10%,5%,62136,Beauty & Personal Care,$2.44,$1.33,Easy,21
mens shampoo and conditioner,46749,1%,-7%,76898,Beauty & Personal Care,$2.44,$2.08,Easy,18
living proof dry shampoo,45524,22%,-21%,59680,Beauty & Personal Care,$6.48,$3.20,Moderate,16
attitude shampoo,44812,6%,11%,74887,Beauty & Personal Care,$2.45,$3.05,Easy,52
kitsch shampoo,44115,41%,466%,246924,Beauty & Personal Care,---,---,Easy,18
moroccan oil shampoo and conditioner,44045,21%,17%,54356,Beauty & Personal Care,---,---,Easy,33
monday shampoo and conditioner,43740,11%,-1%,54423,Beauty & Personal Care,---,---,Easy,18
skala,43563,8%,-16%,100616,Beauty & Personal Care,$0.68,$0.71,Very Difficult,33
cerave shampoo,43543,-3%,51%,162735,Beauty & Personal Care,$0.94,$0.91,Easy,33
clarifying shampoo for build up,42480,-6%,60%,45233,Beauty & Personal Care,---,---,Easy,30
redken acidic bonding concentrate,41388,9%,10%,50108,Beauty & Personal Care,---,---,Difficult,16
head and shoulders,40814,-7%,4%,396506,Beauty & Personal Care,$3.14,$1.26,Easy,18
nexxus shampoo and conditioner,39233,5%,17%,48482,Beauty & Personal Care,$7.96,$1.26,Easy,18
ouidad hair products for curly hair,38127,15%,-6%,39504,Beauty & Personal Care,$2.33,$2.32,Easy,16
nioxin shampoo,37683,-24%,-24%,110446,Beauty & Personal Care,$2.58,$2.30,Easy,33
color safe shampoo and conditioner,37663,26%,3%,45106,Beauty & Personal Care,---,---,Easy,49
biolage,37385,-10%,-7%,309762,Beauty & Personal Care,$1.36,$1.25,Very Difficult,16
necessaire,37191,-12%,-29%,122719,Beauty & Personal Care,$0.83,$0.89,Easy,57
living proof,35561,4%,-31%,178346,Beauty & Personal Care,$2.52,$3.06,Very Difficult,16
amika shampoo and conditioner,35313,-9%,4%,56215,Beauty & Personal Care,$2.01,$1.96,Easy,53
sulfate free shampoo,34982,4%,-3%,119178,Beauty & Personal Care,$2.10,$2.87,Easy,46
ouai shampoo and conditioner,34752,8%,14%,44101,Beauty & Personal Care,$1.05,$1.99,Easy,138
loreal everpure,34629,3%,48%,92592,Beauty & Personal Care,$0.51,$0.99,Easy,16
travel shampoo,34561,28%,18%,485158,Beauty & Personal Care,$1.04,$1.75,Easy,35
color shampoo,34386,10%,5%,248651,Beauty & Personal Care,$2.12,$3.23,Moderate,16
redken extreme length,34375,4%,38%,121480,Beauty & Personal Care,$0.93,$0.92,Somewhat Difficult,16
garnier fructis shampoo,33566,21%,5%,50714,Beauty & Personal Care,$1.63,$1.09,Easy,16
hair products for women,31704,6%,-28%,202340,Beauty & Personal Care,$1.28,$1.23,Easy,16
hair growth shampoo and conditioner,30204,1%,39%,39664,Beauty & Personal Care,---,---,Moderate,18
truss hair products,29446,32%,7%,30527,Beauty & Personal Care,$1.86,$1.20,Easy,16
curly hair shampoo,29073,-6%,-5%,111577,Beauty & Personal Care,$3.18,$2.59,Moderate,16
shampoo for oily hair,28862,-6%,-5%,61329,Beauty & Personal Care,$2.32,$2.15,Moderate,45
travel size shampoo,28701,19%,-1%,202130,Beauty & Personal Care,$1.84,$1.73,Easy,35
hydrating shampoo,28506,1%,32%,82627,Beauty & Personal Care,$6.75,$3.17,Moderate,19
oribe shampoo,28458,6%,-11%,50960,Beauty & Personal Care,$1.37,$4.64,Moderate,67
flakes shampoo,28187,0%,37%,40345,Beauty & Personal Care,$1.61,$1.09,Easy,16
design essentials shampoo,28015,-11%,26%,53675,Beauty & Personal Care,$4.03,$1.68,Easy,16
cantu hair products,27640,-8%,-9%,32144,Beauty & Personal Care,$1.24,$1.24,Easy,16
california naturals shampoo,27498,13%,97%,35773,Beauty & Personal Care,---,---,Easy,70
dr groot hair thickening shampoo,27096,-17%,-11%,28183,Beauty & Personal Care,---,---,Easy,37
joico shampoo,26897,11%,-17%,117714,Beauty & Personal Care,$3.21,$1.99,Easy,33
korean hair care,26669,5%,3%,29173,Beauty & Personal Care,$0.82,$0.88,Difficult,16
lice shampoo,26489,18%,-12%,50008,Health & Household,$2.21,$1.55,Easy,18
moisturizing shampoo,26318,5%,4%,54830,Beauty & Personal Care,$4.52,$3.20,Moderate,19
olaplex shampoo,26021,-4%,-6%,124353,Beauty & Personal Care,$1.17,$1.34,Easy,62
redken shampoo and conditioner set,25945,-31%,-6%,39703,Beauty & Personal Care,---,---,Easy,18
ouai detox shampoo,25279,12%,21%,28944,Beauty & Personal Care,---,---,Somewhat Difficult,96
pureology shampoo,24969,0%,-13%,137855,Beauty & Personal Care,$0.98,$4.50,Easy,62
aesop,24925,-8%,-33%,82507,Beauty & Personal Care,$1.28,$2.21,Very Difficult,42
garnier fructis,24915,7%,0%,129838,Beauty & Personal Care,$2.80,$1.74,Very Difficult,16
aveeno shampoo,24719,11%,-23%,90580,Beauty & Personal Care,$0.73,$1.47,Easy,33
kristin ess shampoo and conditioner,24675,20%,9%,27952,Beauty & Personal Care,---,---,Easy,18
ouidad,24459,12%,-22%,112007,Beauty & Personal Care,$0.72,$4.54,Very Difficult,16
wella shampoo,24449,23%,-14%,54368,Beauty & Personal Care,$0.85,$1.03,Easy,54
olaplex no 6,24358,17%,-2%,37482,Beauty & Personal Care,$0.76,$0.76,Easy,30
moroccan oil shampoo,24266,-12%,-25%,100025,Beauty & Personal Care,$1.39,$1.21,Easy,18
volumizing shampoo,24101,-6%,5%,57764,Beauty & Personal Care,$3.11,$1.85,Somewhat Difficult,16
sexy hair,24031,42%,17%,96830,Beauty & Personal Care,$1.69,$1.05,Easy,16
detox shampoo,23465,-3%,13%,88243,Beauty & Personal Care,$2.24,$1.77,Difficult,65
shampoo for curly hair,22914,12%,-1%,110532,Beauty & Personal Care,$3.97,$2.58,Easy,19
organic shampoo,22656,-6%,5%,65317,Beauty & Personal Care,$1.34,$2.19,Easy,32
korean shampoo,22606,-1%,2%,52714,Beauty & Personal Care,$1.16,$1.13,Moderate,16
cerave shampoo and conditioner,22591,20%,57%,32953,Beauty & Personal Care,$0.89,$0.89,Easy,39
necessaire body wash,22505,8%,-24%,27728,Beauty & Personal Care,$1.16,$1.16,Easy,21
bond repair,22074,-13%,69%,166119,Beauty & Personal Care,$0.74,$0.75,Somewhat Difficult,16
ogx shampoo and conditioner set,21996,20%,16%,24490,Beauty & Personal Care,---,---,Easy,18
living proof shampoo,21972,5%,-10%,95631,Beauty & Personal Care,$0.99,$4.49,Easy,67
honest shampoo,21770,3%,-14%,91446,Baby,$0.89,$0.96,Easy,50
ouai shampoo,21294,-9%,-23%,110479,Beauty & Personal Care,$0.97,$1.91,Easy,138
rice water shampoo and conditioner,20645,6%,47%,32997,Beauty & Personal Care,$2.46,$1.23,Somewhat Difficult,18
elvive shampoo,20541,-3%,55%,90201,Beauty & Personal Care,$0.57,$0.65,Easy,16
redken acidic bonding,20451,-13%,23%,83260,Beauty & Personal Care,---,---,Difficult,16
avalon organics shampoo,20392,-10%,0%,32394,Beauty & Personal Care,$3.48,$1.37,Moderate,16
mu,20373,6%,-16%,38269,Movies & TV,$0.37,$0.52,Very Difficult,16
dandruff treatment,20372,3%,22%,40496,Beauty & Personal Care,$2.43,$2.01,Easy,16
natural shampoo,20076,-5%,4%,76525,Beauty & Personal Care,$1.72,$2.93,Easy,32
briogeo shampoo,19887,6%,0%,37033,Beauty & Personal Care,$2.09,$1.27,Easy,48
dry scalp shampoo,19828,-6%,18%,35380,Beauty & Personal Care,$2.00,$2.08,Easy,16
raw sugar shampoo and conditioner,19746,40%,86%,21555,Beauty & Personal Care,$0.69,$0.83,Moderate,31
mizani hair products,19699,-12%,11%,23021,Beauty & Personal Care,$0.78,$0.99,Easy,16
purology hydrate shampoo and conditioner for color process hair,19558,19%,25%,23470,Beauty & Personal Care,---,---,Easy,18
purador hair shampoo,19489,-4%,-1%,21078,Beauty & Personal Care,$2.50,$1.39,Easy,18
men's shampoo,19334,10%,-13%,23201,Beauty & Personal Care,$3.15,$2.42,Easy,18
hair thickening shampoo,19326,-2%,-5%,60091,Beauty & Personal Care,$1.60,$3.57,Moderate,16
clarifying shampoo for curly hair,19198,2%,14%,21439,Beauty & Personal Care,$1.63,$1.60,Easy,16
shampoo men,19094,19%,-5%,239027,Beauty & Personal Care,$2.41,$2.97,Easy,18
luseta shampoo and conditioner,18762,7%,-22%,25635,Beauty & Personal Care,$2.87,$1.35,Easy,16
kaleidoscope hair products,18742,-4%,36%,21207,Beauty & Personal Care,$1.03,$0.89,Easy,16
volume shampoo,18248,6%,18%,72464,Beauty & Personal Care,$3.09,$1.71,Moderate,16
thickening shampoo,18233,-3%,3%,107364,Beauty & Personal Care,$2.44,$2.53,Somewhat Difficult,16
milkshake hair products,18130,-6%,-8%,19930,Beauty & Personal Care,$1.93,$1.33,Easy,16
revita shampoo,18098,11%,18%,30533,Beauty & Personal Care,$3.71,$1.69,Difficult,18
hair loss shampoo,18050,-11%,8%,50697,Beauty & Personal Care,$1.72,$2.04,Easy,33
verb shampoo and conditioner,17999,2%,7%,23123,Beauty & Personal Care,$2.04,$1.35,Easy,33
based shampoo and conditioner,17971,-19%,64%,23308,Beauty & Personal Care,---,---,Easy,18
bumble and bumble shampoo,17716,7%,-3%,35088,Beauty & Personal Care,$0.92,$1.08,Easy,16
antifungal shampoo,17688,27%,21%,39387,Beauty & Personal Care,$3.36,$3.32,Moderate,18
k18 shampoo,17613,20%,42%,131533,Beauty & Personal Care,---,---,Easy,67
champu para pintar el pelo,17144,20%,3%,17594,Beauty & Personal Care,---,---,Easy,18
shampoo loreal,16806,14%,4%,37064,Beauty & Personal Care,$1.16,$1.05,Easy,16
acure,16696,-19%,-8%,86554,Beauty & Personal Care,$2.41,$1.31,Very Difficult,16
hairitage,16640,39%,6%,62117,Beauty & Personal Care,$0.64,$0.95,Very Difficult,16
