Keyword,30-Day Search Volume (Exact),30 Day Trend,90 Day Trend,30-Day Search Volume (Broad),Category,PPC Bid (Exact),PPC Bid (Broad),Ease to Rank,Relevancy Score
olaplex no 6,24358,17%,-2%,37482,Beauty & Personal Care,$0.76,$0.76,Easy,50
leave in conditioner men,24120,11%,1%,45226,Beauty & Personal Care,$1.92,$2.25,Easy,18
tratamiento para cabello seco y maltratado,23421,-2%,13%,28105,Beauty & Personal Care,---,---,Easy,16
tgin,22683,1%,25%,82477,Beauty & Personal Care,$3.21,$1.06,Very Difficult,18
ouai shampoo,21294,-9%,-23%,110479,Beauty & Personal Care,$0.97,$1.91,Easy,43
olaplex oil,21125,0%,43%,51652,Beauty & Personal Care,$0.85,$0.73,Easy,22
redken acidic bonding,20451,-13%,23%,83260,Beauty & Personal Care,---,---,Difficult,16
hair treatment masks,19868,22%,42%,20768,Beauty & Personal Care,$1.23,$1.25,Easy,16
raw sugar shampoo and conditioner,19746,40%,86%,21555,Beauty & Personal Care,$0.69,$0.83,Moderate,18
ouai leave in conditioner,19559,-3%,-25%,25654,Beauty & Personal Care,$6.58,$1.66,Easy,50
acondicionador para cabello,18737,19%,26%,23059,Beauty & Personal Care,$1.68,$1.70,Easy,33
olaplex bonding oil,17999,22%,-32%,27843,Beauty & Personal Care,---,---,Easy,16
based shampoo and conditioner,17971,-19%,64%,23308,Beauty & Personal Care,---,---,Easy,16
redken leave in conditioner,16710,4%,14%,28342,Beauty & Personal Care,$1.27,$0.97,Easy,33
design essentials conditioner,16255,1%,16%,47948,Beauty & Personal Care,$2.87,$2.00,Easy,33
quai hair products,16202,0%,-5%,19442,Beauty & Personal Care,$1.46,$1.46,Easy,49
protein hair treatment,15912,11%,16%,23768,Beauty & Personal Care,$1.82,$1.33,Easy,33
olaplex conditioner,15826,4%,-4%,110764,Beauty & Personal Care,$0.71,$1.11,Easy,67
deep conditioning hair treatment,15781,-5%,19%,17606,Beauty & Personal Care,$0.59,$1.42,Easy,33
necessaire body lotion,15636,29%,36%,18049,Beauty & Personal Care,$1.35,$0.76,Easy,43
hair shampoo and conditioner,15538,8%,-3%,154686,Beauty & Personal Care,$4.91,$2.60,Easy,16
aphogee 2 step protein treatment,15290,20%,60%,16970,Beauty & Personal Care,---,---,Easy,16
sun in hair lightener,15252,59%,55%,42718,Beauty & Personal Care,$0.75,$0.74,Easy,18
leave in conditioner for fine hair,15165,-17%,24%,22899,Beauty & Personal Care,$2.99,$1.71,Easy,18
olaplex no 7,15148,12%,90%,26265,Beauty & Personal Care,$0.81,$0.77,Easy,16
malin goetz,15145,0%,-28%,36098,Beauty & Personal Care,$7.49,$4.45,Easy,18
pureology conditioner,14691,11%,-10%,125851,Beauty & Personal Care,$3.95,$4.98,Easy,33
mens conditioner,14634,-5%,12%,101743,Beauty & Personal Care,$2.57,$2.86,Easy,72
deep conditioner for dry damaged hair,14619,-3%,7%,15969,Beauty & Personal Care,---,---,Easy,16
shampoo and conditioner for curly hair,14423,6%,-4%,52533,Beauty & Personal Care,$4.00,$4.00,Easy,16
native conditioner,14277,23%,7%,128883,Beauty & Personal Care,---,---,Easy,35
hair repair,14217,4%,-5%,57110,Beauty & Personal Care,$3.70,$1.62,Moderate,16
conditioner for color treated hair,14060,18%,17%,43987,Beauty & Personal Care,---,---,Easy,16
shampoo conditioner,13993,6%,-7%,2894507,Beauty & Personal Care,$2.00,$2.30,Easy,16
best shampoo and conditioner,13838,-8%,10%,29511,Beauty & Personal Care,$2.43,$2.45,Easy,16
sexy hair products,13705,-32%,-16%,20015,Beauty & Personal Care,$1.00,$1.43,Easy,16
nexxus conditioner,13435,7%,11%,69574,Beauty & Personal Care,$1.71,$4.53,Easy,18
pattern leave in conditioner,13200,-12%,82%,17240,Beauty & Personal Care,---,---,Easy,16
cerave conditioner,13129,8%,94%,57512,Beauty & Personal Care,---,---,Easy,18
mizani,12981,14%,9%,75715,Beauty & Personal Care,$0.64,$1.10,Very Difficult,16
rosemary shampoo and conditioner,12507,-27%,51%,28516,Beauty & Personal Care,$1.58,$1.31,Moderate,22
conditioner for dry hair,12382,10%,-8%,94509,Beauty & Personal Care,$5.38,$2.97,Easy,33
hydrating shampoo and conditioner,12236,-20%,-6%,29917,Beauty & Personal Care,$2.13,$2.28,Easy,16
deep conditioner for curly hair,12218,-4%,10%,13299,Beauty & Personal Care,---,---,Easy,16
quai,11993,13%,-17%,45400,Beauty & Personal Care,$1.04,$1.26,Easy,18
split ends hair treatment,11755,0%,-2%,14106,Beauty & Personal Care,$1.61,$1.16,Easy,16
ouai curl cream,11479,8%,42%,11929,Beauty & Personal Care,---,---,Easy,20
clarifying shampoo and conditioner,11184,5%,29%,17571,Beauty & Personal Care,$1.48,$1.62,Moderate,16
curl conditioner,11106,14%,14%,55039,Beauty & Personal Care,$2.21,$1.58,Easy,16
hair conditioner for damaged dry hair,11076,11%,11%,13291,Beauty & Personal Care,---,---,Easy,50
kinky-curly knot today leave-in conditioner,11051,54%,120%,13261,Beauty & Personal Care,---,---,Easy,35
moisturizing shampoo and conditioner,11043,10%,6%,19619,Beauty & Personal Care,$6.72,$4.61,Easy,16
oribe conditioner,11037,-6%,9%,29292,Beauty & Personal Care,$1.47,$4.27,Moderate,53
shampoo for fine hair,10892,-3%,20%,40822,Beauty & Personal Care,$4.39,$2.49,Easy,16
odele,10865,19%,22%,65866,Beauty & Personal Care,$0.93,$0.98,Very Difficult,18
olaplex 3,10696,-5%,30%,88772,Beauty & Personal Care,$0.71,$0.69,Easy,50
olaplex no 4,10640,43%,-1%,24056,Beauty & Personal Care,$0.78,$0.81,Easy,66
redken one united,10594,34%,33%,27180,Beauty & Personal Care,$0.80,$0.80,Moderate,16
wella conditioner,10389,35%,-11%,38442,Beauty & Personal Care,$0.81,$1.03,Easy,18
split ends hair trimmer,10355,-62%,-25%,13955,Beauty & Personal Care,$0.54,$0.69,Easy,16
conditioner for fine hair,10159,15%,18%,45188,Beauty & Personal Care,$4.26,$2.26,Moderate,69
aquage hair products,10144,6%,-14%,11044,Beauty & Personal Care,$1.17,$1.19,Easy,18
rusk hair products,10079,8%,-6%,12095,Beauty & Personal Care,$1.62,$1.20,Easy,18
baby curly hair products,10036,-17%,43%,11836,Beauty & Personal Care,$1.41,$1.41,Easy,16
john frieda ultra filler for fine hair,10034,12%,7%,10879,Beauty & Personal Care,---,---,Easy,18
davines conditioner,9900,9%,2%,23899,Beauty & Personal Care,$1.60,$2.40,Easy,33
kristin ess conditioner,9338,2%,37%,46378,Beauty & Personal Care,$1.34,$0.81,Easy,33
redken all soft conditioner,9326,12%,39%,23833,Beauty & Personal Care,$0.60,$1.19,Moderate,33
shampoo and conditioner for color treated hair,9307,21%,29%,18341,Beauty & Personal Care,$3.99,$3.87,Easy,16
nioxin conditioner,9247,-5%,-8%,73102,Beauty & Personal Care,$1.03,$4.61,Easy,33
biolage hydrasource,9035,-7%,5%,31232,Beauty & Personal Care,$1.92,$1.23,Easy,16
acure shampoo and conditioner,9008,-3%,3%,10365,Beauty & Personal Care,$4.35,$3.33,Easy,18
purology,8993,23%,-14%,51444,Beauty & Personal Care,$1.51,$2.20,Easy,18
thick,8892,-1%,11%,693604,Grocery & Gourmet Food,---,---,Very Difficult,18
elvive conditioner,8874,12%,21%,65465,Beauty & Personal Care,$1.19,$0.91,Easy,33
biolage hydrasource conditioner,8857,11%,32%,12115,Beauty & Personal Care,$1.18,$1.20,Easy,18
ouai conditioner,8731,-9%,8%,78831,Beauty & Personal Care,$1.18,$2.33,Easy,67
infusium 23 leave in treatment,8656,-6%,40%,9556,Beauty & Personal Care,---,---,Easy,18
innersense conditioner,8533,4%,8%,31524,Beauty & Personal Care,$0.50,$1.10,Easy,33
hydrating conditioner,8473,13%,12%,45608,Beauty & Personal Care,$3.11,$2.46,Somewhat Difficult,33
protein treatment for hair,8460,21%,24%,17184,Beauty & Personal Care,$2.23,$1.31,Easy,16
olaplex leave in conditioner,8422,14%,17%,13674,Beauty & Personal Care,$0.75,$1.24,Easy,67
conditioner for curly hair,8410,11%,4%,206307,Beauty & Personal Care,$6.72,$3.20,Easy,33
odele leave in conditioner,8285,49%,48%,9324,Beauty & Personal Care,---,---,Easy,18
biotin oil,8250,-16%,23%,24767,Beauty & Personal Care,$2.01,$1.71,Moderate,18
hair treatment for dry damaged hair,8184,-7%,15%,9427,Beauty & Personal Care,---,---,Easy,16
aveeno conditioner,8179,28%,-7%,31280,Beauty & Personal Care,$3.01,$2.90,Easy,18
milbon,8132,-2%,17%,41663,Beauty & Personal Care,$1.20,$1.08,Very Difficult,16
hair conditioner for men,8002,5%,1%,12156,Beauty & Personal Care,$1.67,$2.70,Moderate,33
olaplex no 5,7953,37%,35%,24320,Beauty & Personal Care,$0.65,$0.82,Easy,83
moisturizing conditioner,7951,-4%,11%,36432,Beauty & Personal Care,$3.75,$4.79,Moderate,33
pureology leave in conditioner,7778,25%,1%,12359,Beauty & Personal Care,$0.92,$0.79,Easy,18
